Query=PC93,,,1
NC_003315.1,HaemophilusphageHP2,3.00E-17,2
NC_022052.1,MycobacteriumphageWhirlwind,1.00E-14,3
NC_020862.2,SulfitobacterphagephiCB2047-Bgenomicsequence75.2,2.00E-12,4
Query=PC682,,,5
NC_004745.1,YersiniaphageL-413C,1.00E-54,6
Query=PC700,,,7
NC_005260.1,AeromonasphageAeh1,1.00E-13,8
Query=PC1405,,,9
NC_021304.1,StreptomycesphageSujidade,6.00E-35,10
Query=PC1649,,,11
NC_009935.1,PseudomonasphageLKD16,5.00E-06,12
Query=PC2887,,,13
NC_009514.1,PhagecdtIDNA,1.00E-15,14
NC_009514.1,PhagecdtIDNA,1.00E-15,15
NC_019716.1,EnterobacteriaphagemEp460,3.00E-11,16
Query=PC4555,,,17
NC_020879.1,AeromonasphageAes012,1.00E-09,18
NC_019929.1,ErwiniaphagephiEaH2,2.00E-07,19
NC_026927.1,SynechococcusphageACG-2014fisolateSyn7803C90,2.00E-07,20
Query=PC5084,,,21
NC_006294.1,VibriophageKSF-1phi,2.00E-06,22
Query=PC5711,,,23
NC_023719.1,BacillusphageG,5.00E-15,24
Query=PC6071,,,25
NC_008296.2,Synechococcusphagesyn9,8.00E-08,26
Query=PC6084,,,27
NC_003315.1,HaemophilusphageHP2,5.00E-06,28
Query=PC6907,,,29
NC_025428.1,RuegeriaphageDSS3-P1,1.00E-06,30
Query=PC7054,,,31
NC_004589.1,Streptococcusprophage315.6,9.00E-113,32
Query=PC8006,,,33
NC_028268.1,Aeropyrumpernixspindle-shapedvirus1,0,34
Query=PC10103,,,35
NC_019406.1,CaulobacterphageCcrColossus,1.00E-13,36
Query=PC10953,,,37
NC_018088.1,Colwelliaphage9A,7.00E-56,38
Query=PC11903,,,39
NC_008195.1,MycobacteriumphageCooper,5.00E-06,40
Query=PC13242,,,41
NC_021857.1,ShigellaphageSfII,2.00E-29,42
Query=PC13352,,,43
NC_021536.1,SynechococcusphageS-IOM18genomicsequence,6.00E-08,44
Query=PC13469,,,45
NC_015282.1,SynechococcusphageS-SM1,1.00E-13,46
NC_019929.1,ErwiniaphagephiEaH2,4.00E-13,47
NC_021536.1,SynechococcusphageS-IOM18genomicsequence,5.00E-12,48
Query=PC13732,,,49
NC_022090.1,StaphylococcusphagevB_SauM_Remus,6.00E-10,50
Query=PC14380,,,51
NC_023006.1,PseudomonasphagePPpW-3DNA,2.00E-10,52
Query=PC14873,,,53
NC_021072.1,CyanophageSyn30genomicsequence378,1.00E-103,54
NC_006820.1,SynechococcusphageS-PM2,5.00E-96,55
NC_026923.1,SynechococcusphageACG-2014disolateSyn7803C102,2.00E-94,56
NC_019516.1,CyanophageS-TIM5,2.00E-89,57
NC_026924.1,SynechococcusphageACG-2014gisolateSyn7803US105,2.00E-88,58
Query=PC15029,,,59
NC_023719.1,BacillusphageG,4.00E-06,60
Query=PC15436,,,61
NC_016655.1,RhodococcusphageREQ1,4.00E-27,62
NC_019929.1,ErwiniaphagephiEaH2,2.00E-12,63
NC_019398.1,CronobacterphagevB_CsaM_GAP161,1.00E-09,64
Query=PC15451,,,65
NC_001884.1,BacillusphageSPBc2,5.00E-39,66
Query=PC15648,,,67
NC_019932.1,ErwiniaphageENT90,8.00E-91,68
Query=PC15918,,,69
NC_016761.1,SalmonellaphageSPN1S,5.00E-08,70
Query=PC16058,,,71
NC_005856.1,EnterobacteriaphageP1,9.00E-11,72
Query=PC16272,,,73
NC_001884.1,BacillusphageSPBc2,1.00E-27,74
Query=PC16711,,,75
NC_019408.1,CaulobacterphageCcrRogue,1.00E-35,76
Query=PC17391,,,77
NC_003444.1,EnterobacteriaphageSfV,2.00E-06,78
Query=PC17581,,,79
NC_016163.1,YersiniaphagephiR1-37,3.00E-10,80
Query=PC17830,,,81
NC_004813.1,EnterobacteriaphageBP-4795,3.00E-30,82
NC_004914.3,Stx2convertingphageIIDNA,6.00E-27,83
NC_011357.1,Stx2-convertingphage1717,2.00E-26,84
Query=PC18445,,,85
