Query=1,,,1
NC_021306.2,MycobacteriumphageDumbo,4.00E-85,2
Query=3,,,3
NC_028256.1,Aeropyrumpernixovoidvirus1,4.00E-21,4
Query=18,,,5
NC_011589.1,StenotrophomonasphageS1,9.00E-98,6
NC_011589.1,StenotrophomonasphageS1,9.00E-98,7
NC_020851.1,SynechococcusphageS-SKS1genomicsequence,2.00E-74,8
NC_013055.1,BurkholderiaphageKS9,7.00E-55,9
NC_026927.1,SynechococcusphageACG-2014fisolateSyn7803C90,2.00E-50,10
NC_010392.1,PhageGifsy-1,4.00E-45,11
NC_006883.2,ProchlorococcusphageP-SSM2,4.00E-45,12
NC_006552.1,PseudomonasphageF116,2.00E-42,13
NC_023575.1,PseudomonasphagevB_PaeP_Tr60_Ab31,4.00E-39,14
NC_023719.1,BacillusphageG,5.00E-31,15
NC_017981.1,XanthomonasphagevB_XveM_DIBBI,2.00E-30,16
Query=29,,,17
NC_010393.1,PhageGifsy-2,2.00E-08,18
Query=32,,,19
NC_010393.1,PhageGifsy-2,2.00E-08,20
Query=33,,,21
NC_013055.1,BurkholderiaphageKS9,1.00E-45,22
NC_013055.1,BurkholderiaphageKS9,1.00E-45,23
NC_020851.1,SynechococcusphageS-SKS1genomicsequence,4.00E-44,24
Query=34,,,25
NC_010393.1,PhageGifsy-2,2.00E-08,26
Query=35,,,27
NC_010393.1,PhageGifsy-2,2.00E-08,28
Query=40,,,29
NC_003315.1,HaemophilusphageHP2,2.00E-21,30
Query=68,,,31
NC_008194.1,Mycobacteriumphage244,3.00E-81,32
Query=74,,,33
NC_014636.1,AeromonasphagephiAS5,8.00E-87,34
NC_023568.1,VibriophageVH7D,4.00E-40,35
NC_019398.1,CronobacterphagevB_CsaM_GAP161,2.00E-37,36
Query=75,,,37
NC_019510.1,ErwiniaphagevB_EamP-L1,3.00E-08,38
Query=76,,,39
NC_019522.1,PectobacteriumphageZF40,5.00E-16,40
Query=86,,,41
NC_015284.1,ProchlorococcusphageP-HM2,5.00E-35,42
Query=90,,,43
NC_027368.1,VibriophagePV94,0,44
Query=91,,,45
NC_005344.1,EnterobacteriaphageSf6,7.00E-70,46
Query=93,,,47
NC_023719.1,BacillusphageG,2.00E-15,48
Query=95,,,49
NC_005344.1,EnterobacteriaphageSf6,1.00E-54,50
NC_016158.1,EscherichiaphageHK639,6.00E-14,51
NC_019399.1,EnterobacteriaphagevB_EcoM_ACG-C40,7.00E-13,52
Query=97,,,53
NC_020860.1,CellulophagaphagephiSMgenomicsequence88.7,6.00E-14,54
Query=98,,,55
NC_023693.1,Enterobacteriaphagephi92,2.00E-41,56
Query=104,,,57
NC_019713.1,VibriophagevB_VpaS_MAR10,1.00E-133,58
NC_024369.2,VibriophageX29,3.00E-58,59
NC_017981.1,XanthomonasphagevB_XveM_DIBBI,1.00E-38,60
Query=106,,,61
